UID          PID    PPID  C    SZ   RSS PSR STIME TTY          TIME CMD
root           1       0  3  6563 16740  10 09:49 ?        00:00:02 /usr/lib/systemd/systemd --switched-root --system --deserialize=53 splash
root         386       2  0     0     0   2 09:49 ?        00:00:00 [kworker/u49:3-flush-259:0]
root         387       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-nvme-reset-wq]
root         388       2  0     0     0   8 09:49 ?        00:00:00 [kworker/u49:4-writeback]
root         389       2  0     0     0   6 09:49 ?        00:00:00 [kworker/u49:5-flush-259:0]
root         390       2  0     0     0   9 09:49 ?        00:00:00 [kworker/R-nvme-delete-wq]
root         391       2  0     0     0   8 09:49 ?        00:00:00 [kworker/u49:6-flush-259:0]
root         392       2  0     0     0   2 09:49 ?        00:00:00 [kworker/u49:7-flush-259:0]
root         393       2  0     0     0   2 09:49 ?        00:00:00 [kworker/u49:8-flush-259:0]
root         394       2  0     0     0   6 09:49 ?        00:00:00 [kworker/u49:9-flush-259:0]
root         395       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-nvme-auth-wq]
root         396       2  0     0     0   5 09:49 ?        00:00:00 [scsi_eh_8]
root         397       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-scsi_tmf_8]
root         398       2  0     0     0  10 09:49 ?        00:00:00 [scsi_eh_9]
root         399       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-scsi_tmf_9]
root         400       2  0     0     0   6 09:49 ?        00:00:00 [kworker/u49:10-events_unbound]
root         401       2  0     0     0   1 09:49 ?        00:00:00 [kworker/u49:11-flush-259:0]
root         402       2  0     0     0   3 09:49 ?        00:00:00 [scsi_eh_10]
root         403       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-scsi_tmf_10]
root         404       2  0     0     0   8 09:49 ?        00:00:00 [kworker/u49:12-events_unbound]
root         424       2  0     0     0   1 09:49 ?        00:00:00 [kworker/1:1H-kblockd]
root         439       2  0     0     0   8 09:49 ?        00:00:00 [kworker/8:3-events]
root         440       2  0     0     0   2 09:49 ?        00:00:00 [jbd2/nvme0n1p2-8]
root         441       2  0     0     0   8 09:49 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         446       2  0     0     0   3 09:49 ?        00:00:00 [kworker/3:2]
root         453       2  0     0     0   7 09:49 ?        00:00:00 [kworker/7:2]
root         454       2  0     0     0   6 09:49 ?        00:00:00 [kworker/6:2-mm_percpu_wq]
root         491       2  0     0     0   8 09:49 ?        00:00:00 [psimon]
root         497       1  0 10697 19200   3 09:49 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         536       2  0     0     0   3 09:49 ?        00:00:00 [kworker/3:1H-kblockd]
root         542       2  0     0     0   8 09:49 ?        00:00:00 [kworker/8:1H-kblockd]
root         545       1  0 10380 14880   3 09:49 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         548       2  0     0     0   0 09:49 ?        00:00:00 [kworker/0:3-rcu_gp]
systemd+     549       1  0  5636 14496   7 09:49 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root         550       2  0     0     0   6 09:49 ?        00:00:00 [kworker/6:1H-kblockd]
root         555       2  0     0     0   8 09:49 ?        00:00:00 [psimon]
root         573       2  0     0     0  10 09:49 ?        00:00:00 [kworker/10:2-memcg]
root         601       2  0     0     0   7 09:49 ?        00:00:00 [kworker/7:1H-kblockd]
root         908       2  0     0     0   9 09:49 ?        00:00:00 [kworker/u51:1-hci0]
root         910       2  0     0     0  10 09:49 ?        00:00:00 [kworker/u51:2]
root         912       2  0     0     0   0 09:49 ?        00:00:00 [kworker/0:1H-kblockd]
root         952       2  0     0     0  11 09:49 ?        00:00:00 [kworker/11:1H-kblockd]
root         978       2  0     0     0  10 09:49 ?        00:00:00 [kworker/10:3-events]
root         979       2  0     0     0  10 09:49 ?        00:00:00 [kworker/10:4-events]
root        1001       2  0     0     0   2 09:49 ?        00:00:00 [kworker/2:1H-kblockd]
root        1010       2  0     0     0   5 09:49 ?        00:00:00 [kworker/5:1H-kblockd]
root        1024       2  0     0     0   9 09:49 ?        00:00:00 [kworker/9:1H-kblockd]
root        1025       2  0     0     0   0 09:49 ?        00:00:00 [jbd2/sdb1-8]
root        1026       2  0     0     0   7 09:49 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root        1039       2  0     0     0  10 09:49 ?        00:00:00 [kworker/10:1H-kblockd]
root        1044       2  0     0     0  11 09:49 ?        00:00:00 [kworker/u50:6-flush-259:0]
root        1045       2  0     0     0   9 09:49 ?        00:00:00 [kworker/u50:7-writeback]
root        1058       2  0     0     0  10 09:49 ?        00:00:00 [kworker/u50:8-loop11]
systemd+    1074       1  0  4202  7580   9 09:49 ?        00:00:00 /usr/lib/systemd/systemd-oomd
root        1350       2  0     0     0   1 09:49 ?        00:00:00 [kworker/1:2-mm_percpu_wq]
root        1352       2  0     0     0   8 09:49 ?        00:00:00 [kworker/R-amdgpu-reset-dev]
root        1378       2  0     0     0  11 09:49 ?        00:00:00 [kworker/R-ttm]
root        1455       2  0     0     0   4 09:49 ?        00:00:00 [kworker/4:1H-kblockd]
root        1479       1  0  2097  2472   8 09:49 ?        00:00:00 /usr/sbin/anacron -d -q -s
avahi       1481       1  0  1686  4596  10 09:49 ?        00:00:00 avahi-daemon: running [sanjevi-linux.local]
root        1482       1  0  3250  7208   6 09:49 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
root        1484       1  0   722  1936  11 09:49 ?        00:00:00 /bin/sh /usr/lib/systemd/scripts/chronyd-starter.sh -n -F 1
message+    1485       1  1  3026  8808   3 09:49 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1490       1  0 115493 23664 11 09:49 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
root        1496       1  0 12357 29660   6 09:49 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
polkitd     1502       1  0 97290 12336   8 09:49 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root        1510       1  3 629175 43660  3 09:49 ?        00:00:02 /snap/snapd/current/usr/lib/snapd/snapd
root        1513       1  0 78032  8248   8 09:49 ?        00:00:00 /usr/libexec/accounts-daemon
root        1516       1  0  2415  3276   4 09:49 ?        00:00:00 /usr/sbin/cron -f -P
root        1517       1  0 77650  7692   6 09:49 ?        00:00:00 /usr/libexec/switcheroo-control
root        1522       1  0  4747 10092   9 09:49 ?        00:00:00 /usr/lib/systemd/systemd-logind
root        1524       1  0 136064 16396  1 09:49 ?        00:00:00 /usr/libexec/udisks2/udisksd
avahi       1537    1481  0  1640  1644  10 09:49 ?        00:00:00 avahi-daemon: chroot helper
syslog      1564       1  0 55151  5964   6 09:49 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
_chrony     1568    1484  0  6000 11044   4 09:49 ?        00:00:00 /usr/sbin/chronyd -n -F 1
root        1613       2  0     0     0   4 09:49 ?        00:00:00 [kworker/4:2-cgroup_free]
_chrony     1617    1568  0  3030  3340   6 09:49 ?        00:00:00 /usr/sbin/chronyd -n -F 1
root        1637       1  0 84852 22184   8 09:49 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        1639       1  0  4490  6768   0 09:49 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1677       1  0 97902 13824   8 09:49 ?        00:00:00 /usr/sbin/ModemManager
root        1721       2  0     0     0   5 09:49 ?        00:00:00 [jbd2/sda1-8]
root        1722       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root        1726       1  0  8017 12912   2 09:49 ?        00:00:00 /usr/sbin/cupsd -l
root        1734       1  0 339217 46592  5 09:49 ?        00:00:00 /usr/sbin/tailscaled --state=/var/lib/tailscale/tailscaled.state --socket=/run/tailscale/tailscaled.sock --port=41641
root        1735       1  0 32175 32456   5 09:49 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
sanjevi     1756       1  1  5936 14980   6 09:49 ?        00:00:00 /usr/lib/systemd/systemd --user
root        1758       1  0 542862 43960  4 09:49 ?        00:00:00 /usr/bin/containerd
root        1764       1  0  2685  7564   3 09:49 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
lp          1777    1726  0  3859  7132   1 09:49 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
sanjevi     1779    1756  0  5801  4200  11 09:49 ?        00:00:00 (sd-pam)
root        1787       1  0 96796 10428  11 09:49 ?        00:00:00 /usr/sbin/gdm3
root        1805       2  0     0     0   1 09:49 ?        00:00:00 [kworker/1:3]
sanjevi     1880    1756  0  2507  6612   2 09:49 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
